,AGE,AGECL,EDCL,FAMSTRUCT,KIDS,MARRIED,OCCAT1,OCCAT2,RACE,LIFECL,LF,INDCAT,EXPENSHILO,BNKRUPLAST5,FORECLLAST5,ASSET,FIN,RETEQ,ANYPEN,BUS,HOMEEQ,CURRPEN,IRAKH,DEBT,LATE,LATE60,HPAYDAY,RENT,PAYEDU1,PAYEDU2,PAYEDU3,PAYEDU4,PAYEDU5,PAYEDU6,PAYEDU7,KNOWL,SAVRES1,SAVRES4,SAVRES6,SAVRES7,SAVRES8,WSAVED,INCOME,INCCAT,SSRETINC,WAGEINC,NETWORTH,EMERGBORR,EMERGSAV,EMERGPSTP,EMERGCUT,EMERGWORK
0,70,5,3,1,2,2,3,4,1,6,0,4,3,0,0,957100.0,258100,49000.0,0,0,479000,0,245000,195000,0,0,0,0.0,0.0,0,0.0,0,0,0,0,5,0,0,1,0,0,3,38804.734469,2,38804.734469,0.0,762100.0,0,1,0,0,0
1,70,5,3,1,2,2,3,4,1,6,0,4,3,0,0,1067300.0,184300,177000.0,0,0,645000,0,177000,213000,0,0,0,0.0,0.0,0,0.0,0,0,0,0,5,0,0,1,0,0,3,38264.278557,2,37183.366733,0.0,854300.0,0,1,0,0,0
2,70,5,3,1,2,2,3,4,1,6,0,4,3,0,0,957200.0,175200,42500.0,0,0,478000,0,170000,279000,0,0,0,0.0,0.0,0,0.0,0,0,0,0,5,0,0,1,0,0,3,36102.45491,2,35021.543086,0.0,678200.0,0,1,0,0,0
3,70,5,3,1,2,2,3,4,1,6,0,4,3,0,0,828600.0,93600,42000.0,0,0,161000,0,42000,549000,0,0,0,0.0,0.0,0,0.0,0,0,0,0,5,0,0,1,0,0,3,33508.266533,2,32427.354709,0.0,279600.0,0,1,0,0,0
4,70,5,3,1,2,2,3,4,1,6,0,4,3,0,0,825600.0,34600,27000.0,0,0,542000,0,27000,223000,0,0,0,0.0,0.0,0,0.0,0,0,0,0,5,0,0,1,0,0,3,35561.998998,2,35561.998998,0.0,602600.0,0,1,0,0,0
5,46,3,4,2,0,2,2,1,1,1,1,2,1,0,0,1240500.0,140500,30000.0,0,460000,93000,0,100000,518700,0,0,0,0.0,0.0,0,0.0,0,0,0,0,8,0,0,1,0,0,3,224829.65932,5,0.0,9836.2975952,721800.0,0,1,0,0,0
6,46,3,4,2,0,2,2,1,1,1,1,2,1,0,0,1242500.0,142500,15000.0,0,460000,93000,0,100000,518700,0,0,0,0.0,0.0,0,0.0,0,0,0,0,8,0,0,1,0,0,3,224829.65932,5,0.0,9836.2975952,723800.0,0,1,0,0,0
7,46,3,4,2,0,2,2,1,1,1,1,2,1,0,0,1241100.0,141100,65000.0,0,460000,93000,0,100000,519700,0,0,0,0.0,0.0,0,0.0,0,0,0,0,8,0,0,1,0,0,3,224829.65932,5,0.0,9944.3887776,721400.0,0,1,0,0,0
8,46,3,4,2,0,2,2,1,1,1,1,2,1,0,0,1244000.0,144000,75000.0,0,460000,93000,0,100000,519700,0,0,0,0.0,0.0,0,0.0,0,0,0,0,8,0,0,1,0,0,3,224829.65932,5,0.0,9836.2975952,724300.0,0,1,0,0,0
9,46,3,4,2,0,2,2,1,1,1,1,2,1,0,0,1241300.0,142300,5000.0,0,460000,93000,0,100000,518700,0,0,0,0.0,0.0,0,0.0,0,0,0,0,8,0,0,1,0,0,3,224829.65932,5,0.0,9836.2975952,722600.0,0,1,0,0,0
10,68,5,4,5,0,1,3,4,1,6,0,4,3,0,0,61177590.0,60492890,459000.0,1,0,629000,0,459000,17580000,1,0,0,0.0,0.0,0,0.0,0,0,0,0,9,0,0,0,0,0,3,445335.67134,6,76744.739479,0.0,43597590.0,0,1,0,0,0
